"","Mock1_F_filt.fastq.gz","Mock2_F_filt.fastq.gz","Mock3_F_filt.fastq.gz"
"ASV_1",3749,6748,16855
"ASV_2",3037,5648,10350
"ASV_3",2038,3596,9814
"ASV_4",1792,3369,9550
"ASV_5",1818,3389,9169
"ASV_6",2073,4352,6481
"ASV_7",1587,2902,7034
"ASV_8",1143,2711,6050
"ASV_9",1495,2447,5412
"ASV_10",1319,2354,3709
"ASV_11",993,1597,4762
"ASV_12",1595,3079,1979
"ASV_13",1088,2752,2760
"ASV_14",771,1728,3711
"ASV_15",1408,2983,1184
"ASV_16",828,1622,2576
"ASV_17",581,1273,2119
"ASV_18",502,935,1577
"ASV_19",206,570,1105
"ASV_20",199,537,994
"ASV_21",0,0,718
"ASV_22",0,210,498
"ASV_23",0,0,504
"ASV_24",51,70,13
"ASV_25",19,0,0
"ASV_26",16,0,0
"ASV_27",0,16,0
"ASV_28",0,13,0
"ASV_29",0,12,0
"ASV_30",0,0,9
"ASV_31",0,0,8
"ASV_32",7,0,0
"ASV_33",7,0,0
"ASV_34",5,0,0
"ASV_35",4,0,0
"ASV_36",0,4,0
"ASV_37",0,4,0
"ASV_38",0,0,4
"ASV_39",2,0,0
"ASV_40",2,0,0
"ASV_41",2,0,0
